Name,Release Year,Creator,Original Style,Original Platform,Genre,Number of Episodes,K-Score,K-Popularity,K-rated,Mal-Score,Mal-Popularity,Mal-rated
Hunter X Hunter,2011,Yosihiro Togashi,Japanese/Sub,Funimation,Action,148,84.17%,10,13,9.08%,12,5
Jujutsu Kaisen,2020,Gege Akutami,Japanese/Sub,Crunchyroll,Horror,24,84.96%,551,5,8.79%,74,27
One Punch Man,2015,ONE,English Dub,Toonami,Action,37,83.52%,2,17,8.55%,5,84
Eighty-Six 86,2021,Asato Asato,Japanese/Sub,Crunchyroll,Mecha,4,77.94%,8417,990,7.92%,901,652
Demon Slayer,2019,Koyoharu Gotouge,English Dub,Toonami,Horror,26,85.65%,21,2,8.60%,16,67
Overlord,2015,Kugane Maruyama,Japanese/Sub,Funimation,Action,39,79.89%,130,628,7.94%,66,617
Dr. Stone,2019,Riichiro Inagaki,Japanese/Sub,Crunchyroll,Sci-fi,35,82.30%,118,47,8.32%,70,209
Gargantia on the verdurous planet,2013,Gen Urobuchi,Japanese/Sub,Crunchyroll,Sci-fi,17,76%,330,1509,7.49%,528,1607
Seven Deadly Sins,2014,Nakaba Suzuki,Japanese/Sub,Netflix,Action,76,82.89%,9,28,7.83%,25,777
Revisions,2019,Makoto Fukami,Japanese/Sub,Netflix,Mecha,12,61.73%,2349,8687,6.10%,2329,7869
High Rise Invasion,2021,Tsuina Miura,Japanese/Sub,Netflix,Horror,12,75.36%,8752,1718,6.81%,1298,4427
Gen:Lock,2018,Gray Haddock,English,Rooster Teeth,Mecha,8,77.31%,5513,1147,0,0,0
Kakegurui,2017,Homura Kawamoto,Japanese/Sub,Netflix,Horror,24,75.29%,186,1742,7.36%,90,2076
Maid Sama,2010,Hiro Fujiwara,Japanese/Sub,Hulu,Romance,26,82.21%,104,147,8.05%,94,482
"Love, Death, and Robots",2019,David Fincher,Japanese/Sub,Netflix,Sci-fi,18,80.91%,2942,430,0,0,0
Toradora!,2008,Yuyuko Takemiya,Japanese/Sub,Netflix,Romance,75,82.21%,22,146,8.20%,18,312
BNA,2020,Kazuki Nakashima,English,Netflix,Action,12,77.55%,1314,1087,7.42%,650,1830
Beastars,2019,Nanami Higuchi,English,Netflix,Romance,12,80.58%,615,501,7.99%,236,555
Code Geass,2006,Ichiro Okouchi,English Dub,Toonami,Mecha,50,82.24%,26,87,8.91%,40,18
Gurren Lagaan,2007,Kazuki Nakashima,English Dub,Toonami,Mecha,27,82.82%,39,133,8.66%,51,55
Dorohedoro,2020,Yuichiro Hayashi,Japanese/Sub,Netflix,Action,12,80.87%,1241,445,8.10%,484,408
The Ancient Magus Bride,2016,Kore Yamazaki,Japanese/Sub,Crunchyroll,Romance,27,82.04%,133,215,8.09%,167,437
Tokyo Ghoul,2014,Chuji Mikasano,English Dub,Toonami,Horror,48,80.49%,30,520,7.80%,7,845
Drifting Dragons,2020,Taku Kuwabara,Japanese/Sub,Netflix,Adventure,12,71.40%,3508,3407,7.02%,3013,3613
Blood,2005,Hirofumi Moritomi,Japanese/Sub,TBS,Horror,50,74.99%,461,1854,7.65%,458,1161
Full metal alchemist,2003,Hiromu Arakawa,English Dub,Toonami,Action,40,82.23%,35,109,9.08%,13,6
Somalia and the Forest Spirit,2015,Yako Gureishi,Japanese/Sub,Crunchyroll,Adventure,37,78.89%,1291,774,7.82%,763,810
Is it wrong to try to pick up girls in a dungeon,2013,Fujino Omori,Japanese/Sub,Crunchyroll,Romance,38,77.17%,97,1175,7.61%,61,1259
Black Butler,2006,Yana Toboso,Japanese/Sub,Funimation,Horror,43,77.50%,123,1105,7.73%,99,972
RWBY,2013,Monty Oum,English,Rooster Teeth,Action,120,75.81%,1011,1561,0,0,0
